2019-04-19 오후 6:02:46 payco_popup.asp is Called - gubun : Order, pm : , bbq_card : [], order_idx : 18178, order_num : M20000000018178, pay_method : Payco, domain : mobile, branch_id : 1227003, save_point : 0, coupon_amt : , use_coupon : [], chk_mem : N, 
2019-04-19 오후 6:03:01 payco_popup.asp is Called - gubun : Order, pm : , bbq_card : [], order_idx : 18179, order_num : M20000000018179, pay_method : Payco, domain : mobile, branch_id : 1227003, save_point : 0, coupon_amt : , use_coupon : [], chk_mem : N, 
2019-04-19 오후 6:03:06 payco_popup.asp is Called - gubun : Order, pm : , bbq_card : [], order_idx : 18179, order_num : M20000000018179, pay_method : Payco, domain : mobile, branch_id : 1227003, save_point : 0, coupon_amt : , use_coupon : [], chk_mem : N, 
2019-04-19 오후 6:03:12 payco_popup.asp is Called - gubun : Order, pm : , bbq_card : [], order_idx : 18180, order_num : M20000000018180, pay_method : Payco, domain : mobile, branch_id : 1227003, save_point : 0, coupon_amt : , use_coupon : [], chk_mem : N, 
2019-04-19 오후 7:27:19 payco_popup.asp is Called - gubun : Order, pm : , bbq_card : [], order_idx : 18340, order_num : W20000000018340, pay_method : Payco, domain : pc, branch_id : 7210601, save_point : 0, coupon_amt : , use_coupon : [], chk_mem : N, 
2019-04-19 오후 7:28:06 payco_popup.asp is Called - gubun : Order, pm : , bbq_card : [], order_idx : 18342, order_num : W20000000018342, pay_method : Payco, domain : pc, branch_id : 7210601, save_point : 0, coupon_amt : , use_coupon : [], chk_mem : N, 
2019-04-19 오후 7:28:21 payco_popup.asp is Called - gubun : Order, pm : , bbq_card : [], order_idx : 18343, order_num : W20000000018343, pay_method : Payco, domain : pc, branch_id : 7210601, save_point : 0, coupon_amt : , use_coupon : [], chk_mem : N, 
2019-04-19 오후 7:29:01 payco_popup.asp is Called - gubun : Order, pm : , bbq_card : , order_idx : 18346, order_num : M20000000018346, pay_method : Payco, domain : mobile, branch_id : 1140202, save_point : , coupon_amt : , use_coupon : [], chk_mem : N, 
2019-04-19 오후 7:29:19 payco_popup.asp is Called - gubun : Order, pm : , bbq_card : , order_idx : 18348, order_num : M20000000018348, pay_method : Payco, domain : mobile, branch_id : 1140202, save_point : , coupon_amt : , use_coupon : [], chk_mem : N, 
2019-04-19 오후 7:29:26 payco_popup.asp is Called - gubun : Order, pm : , bbq_card : , order_idx : 18349, order_num : M20000000018349, pay_method : Payco, domain : mobile, branch_id : 1140202, save_point : , coupon_amt : , use_coupon : [], chk_mem : N, 
2019-04-19 오후 7:29:32 payco_popup.asp is Called - gubun : Order, pm : , bbq_card : , order_idx : 18350, order_num : M20000000018350, pay_method : Payco, domain : mobile, branch_id : 1140202, save_point : , coupon_amt : , use_coupon : [], chk_mem : N, 
